Val loss: 0.3069652264507917, pck_50: 95.74071455505272, pck_40: 91.63944664404224, pck_30: 81.574637066365, pck_20: 59.96123208898939, pck_10: 23.874316553544492, pck_5: 6.992835595776774
Val loss: 0.3035116212585798, pck_50: 95.72975584464551, pck_40: 91.91447492458529, pck_30: 82.2855392156863, pck_20: 60.45790912518844, pck_10: 24.501555429864226, pck_5: 7.332319947209653
Val loss: 0.3024165720607226, pck_50: 95.82673453996976, pck_40: 91.92107371794876, pck_30: 82.0816836349925, pck_20: 60.52036199095024, pck_10: 24.672299208144782, pck_5: 7.323600113122176
Val loss: 0.3006054017979365, pck_50: 95.8525405354449, pck_40: 92.01722756410267, pck_30: 82.30804581447966, pck_20: 60.8828242835596, pck_10: 24.866610105580673, pck_5: 7.492105015082952
Val loss: 0.30076734002393024, pck_50: 95.83910727752632, pck_40: 92.0030872926093, pck_30: 82.32902055052789, pck_20: 60.673194758672736, pck_10: 24.677955316742086, pck_5: 7.420460972850681
Val loss: 0.304914190992713, pck_50: 95.82956259426842, pck_40: 91.82598039215684, pck_30: 81.79275075414785, pck_20: 59.94284973604831, pck_10: 24.45453902714934, pck_5: 7.241704374057318
Val loss: 0.29806796873991304, pck_50: 95.90792326546003, pck_40: 92.11844834087488, pck_30: 82.46323529411757, pck_20: 60.97591440422321, pck_10: 25.24780825791856, pck_5: 7.602281297134241
Val loss: 0.2939321328527652, pck_50: 95.89460784313721, pck_40: 92.1440186651584, pck_30: 82.79647435897438, pck_20: 62.00014140271492, pck_10: 25.96118495475115, pck_5: 7.843962104072401
Val loss: 0.2974044432147191, pck_50: 95.87363310708903, pck_40: 92.07496700603319, pck_30: 82.59627168174971, pck_20: 61.432763009049786, pck_10: 25.60555712669683, pck_5: 7.770197021116141
Val loss: 0.2923678220751194, pck_50: 95.86408842383108, pck_40: 92.2037613122172, pck_30: 83.07185614630474, pck_20: 62.32242175716442, pck_10: 26.09186463046755, pck_5: 7.9818297511312215
Val loss: 0.2931324258160133, pck_50: 95.8917797888385, pck_40: 92.10195135746613, pck_30: 82.85386029411757, pck_20: 62.00662236048266, pck_10: 26.120263009049797, pck_5: 7.954963235294116
Val loss: 0.29404655104646316, pck_50: 95.85607560331827, pck_40: 92.04586161387621, pck_30: 82.69654977375565, pck_20: 62.13176376319757, pck_10: 26.265318627450988, pck_5: 7.975584464555048
Val loss: 0.29054094318013923, pck_50: 95.91122266214171, pck_40: 92.2797652714933, pck_30: 83.13607654600295, pck_20: 62.54383484162891, pck_10: 26.677978883861236, pck_5: 8.194876508295636
Val loss: 0.29122184821619435, pck_50: 95.97061180241327, pck_40: 92.3287848793364, pck_30: 83.11250942684771, pck_20: 62.319475867270015, pck_10: 26.255066930618423, pck_5: 8.017533936651583
Val loss: 0.29018421319241705, pck_50: 95.91357937405739, pck_40: 92.2058823529412, pck_30: 83.08352187028659, pck_20: 62.71540346908, pck_10: 26.62094645550526, pck_5: 8.129831259426854
Val loss: 0.28997500601869364, pck_50: 95.90898378582204, pck_40: 92.27481617647061, pck_30: 83.19157711161382, pck_20: 62.79223227752639, pck_10: 26.93403563348417, pck_5: 8.256622360482663
Val loss: 0.287230666153706, pck_50: 95.92465592006033, pck_40: 92.35765460030176, pck_30: 83.4105156485671, pck_20: 63.15386972096533, pck_10: 27.23039215686273, pck_5: 8.376461161387633
#-----------------------------------------------#
#-----------------------------------------------#
Val loss: 0.8615653475889793, pck_50: 77.10631127450984, pck_40: 61.016332013574726, pck_30: 40.762042797888405, pck_20: 20.467453808446496, pck_10: 5.463683069381604, pck_5: 1.3645361990950238
Val loss: 0.3829316244675563, pck_50: 94.5252403846154, pck_40: 88.47002262443443, pck_30: 74.55033936651589, pck_20: 48.97989724736047, pck_10: 16.446785444947206, pck_5: 4.493778280542986
Val loss: 0.3290914887992235, pck_50: 95.42538650075419, pck_40: 90.96589837858218, pck_30: 79.77787990196086, pck_20: 56.47141308446454, pck_10: 21.29371700603319, pck_5: 6.118495475113119
Val loss: 0.3152806293219328, pck_50: 95.61192024886881, pck_40: 91.43559106334833, pck_30: 81.05769230769229, pck_20: 58.66928261689294, pck_10: 23.03850867269987, pck_5: 6.705670248868771
Val loss: 0.3022008171734902, pck_50: 95.83663273001503, pck_40: 91.92519796380087, pck_30: 82.05481711915526, pck_20: 60.39427790346906, pck_10: 24.943792420814468, pck_5: 7.518971530920051
Val loss: 0.28923327432802093, pck_50: 95.96707673453996, pck_40: 92.33326263197584, pck_30: 83.20418552036196, pck_20: 62.49351904223228, pck_10: 26.67691836349926, pck_5: 8.13277714932127
Val loss: 0.28462241847927755, pck_50: 95.92819098793368, pck_40: 92.38039687028648, pck_30: 83.66150546757169, pck_20: 63.5396634615384, pck_10: 27.972638574660625, pck_5: 8.659266591251887
Val loss: 0.2760011629702953, pck_50: 96.05686745852192, pck_40: 92.65330411010564, pck_30: 84.3526112368025, pck_20: 65.13503959276018, pck_10: 29.525947398190066, pck_5: 9.293811274509796
Val loss: 0.27000901807959266, pck_50: 96.0912754524888, pck_40: 92.7621842006033, pck_30: 84.65332767722468, pck_20: 66.12509426847667, pck_10: 30.55983691553542, pck_5: 9.752191742081445
Val loss: 0.26539799800285924, pck_50: 96.13511029411762, pck_40: 92.87589555052793, pck_30: 85.17698906485676, pck_20: 66.88136312217198, pck_10: 30.931372549019635, pck_5: 9.779647435897441
Val loss: 0.2605974970528713, pck_50: 96.21476715686286, pck_40: 93.12653186274514, pck_30: 85.64126131221721, pck_20: 67.7175245098039, pck_10: 31.7105015082956, pck_5: 10.240148944193066
Val loss: 0.2609752806619956, pck_50: 96.21853789592758, pck_40: 93.14055429864266, pck_30: 85.5838753770739, pck_20: 67.58236708144794, pck_10: 32.18231523378581, pck_5: 10.440940799396671
Val loss: 0.25901028023889433, pck_50: 96.17953431372553, pck_40: 93.04687500000013, pck_30: 85.48512914781297, pck_20: 68.21879713423826, pck_10: 32.52156391402714, pck_5: 10.472402903469082
Val loss: 0.25574602610789815, pck_50: 96.27003205128216, pck_40: 93.23116987179502, pck_30: 85.89720022624432, pck_20: 68.65573152337859, pck_10: 33.20713141025641, pck_5: 10.768405920060337
Val loss: 0.25215380782118213, pck_50: 96.28664687028669, pck_40: 93.33274415535446, pck_30: 86.26649698340871, pck_20: 69.2911010558069, pck_10: 33.752121040723985, pck_5: 11.053921568627466
Val loss: 0.2523141667246819, pck_50: 96.32871417797892, pck_40: 93.36173171191551, pck_30: 86.34085124434382, pck_20: 69.09820418552036, pck_10: 33.60930429864253, pck_5: 10.870451546003023
Val loss: 0.24594401622620912, pck_50: 96.35876225490208, pck_40: 93.47933163650077, pck_30: 86.497101244344, pck_20: 70.06245286576173, pck_10: 35.52660727752638, pck_5: 12.03655260180996
Val loss: 0.24594770967960358, pck_50: 96.32482560331833, pck_40: 93.39130844645562, pck_30: 86.7043740573152, pck_20: 70.49761972096533, pck_10: 35.816129336349924, pck_5: 11.935096153846155
Val loss: 0.24473123278182288, pck_50: 96.35876225490203, pck_40: 93.46731240573153, pck_30: 86.68281014328792, pck_20: 70.60685331825042, pck_10: 35.67072021116137, pck_5: 11.729237368024144
Val loss: 0.24419966761309367, pck_50: 96.34709653092014, pck_40: 93.46884426847666, pck_30: 86.75492552790342, pck_20: 70.73988970588229, pck_10: 36.2279647435897, pck_5: 12.207885558069378
Val loss: 0.24232333288169824, pck_50: 96.31410256410265, pck_40: 93.46955128205136, pck_30: 86.890789969834, pck_20: 71.3071502639517, pck_10: 36.907876131221705, pck_5: 12.312523567119147
Val loss: 0.241367703762192, pck_50: 96.35581636500757, pck_40: 93.55250754147814, pck_30: 86.97315705128206, pck_20: 71.37408088235293, pck_10: 36.807833710407245, pck_5: 12.43978601055807
Val loss: 0.23943436142916863, pck_50: 96.40330411010568, pck_40: 93.54956165158367, pck_30: 86.90799396681751, pck_20: 71.34379713423832, pck_10: 37.43707579185518, pck_5: 12.68193815987935
Val loss: 0.23889674799373517, pck_50: 96.38527526395175, pck_40: 93.56488027903458, pck_30: 86.83175433634993, pck_20: 71.71863216440416, pck_10: 37.48809860482656, pck_5: 12.594268476621423
Val loss: 0.2397919924499897, pck_50: 96.3780872926094, pck_40: 93.66126979637998, pck_30: 87.132588612368, pck_20: 71.41932975113126, pck_10: 37.146257541478136, pck_5: 12.908889517345395
Val loss: 0.2399050332319278, pck_50: 96.35122077677234, pck_40: 93.53400735294122, pck_30: 86.98765082956264, pck_20: 71.67656485671193, pck_10: 37.377450980392155, pck_5: 12.522035256410266
Val loss: 0.2430858800904109, pck_50: 96.30915346907993, pck_40: 93.47520739064858, pck_30: 86.61847190799399, pck_20: 70.8891874057314, pck_10: 36.67550433634991, pck_5: 12.49575791855204
Val loss: 0.24104349613189696, pck_50: 96.34886406485684, pck_40: 93.57949189291095, pck_30: 87.14378299396684, pck_20: 71.52432126696834, pck_10: 36.633790535444945, pck_5: 12.236990950226254
Val loss: 0.23582590302595727, pck_50: 96.42015460030171, pck_40: 93.6764705882352, pck_30: 87.2815328054299, pck_20: 72.21507352941167, pck_10: 37.68005279034692, pck_5: 12.805429864253396
Val loss: 0.23447505250000036, pck_50: 96.46092571644051, pck_40: 93.72289781297125, pck_30: 87.26303261689301, pck_20: 72.2420578808446, pck_10: 38.118990384615394, pck_5: 13.121229260935147
Val loss: 0.23457181986707906, pck_50: 96.41968325791862, pck_40: 93.72713989441935, pck_30: 87.33762254901957, pck_20: 72.56080316742083, pck_10: 38.237532993966845, pck_5: 12.814974547511312
Val loss: 0.23339581575531226, pck_50: 96.42769607843141, pck_40: 93.72725773001511, pck_30: 87.28966346153854, pck_20: 72.5294588989441, pck_10: 39.03268759426847, pck_5: 13.625683446455502
Val loss: 0.23283017025544092, pck_50: 96.4456070889895, pck_40: 93.75506693061837, pck_30: 87.51791101055808, pck_20: 72.82298736802403, pck_10: 39.03139140271492, pck_5: 13.56888668929109
Val loss: 0.23334461510754548, pck_50: 96.40507164404225, pck_40: 93.73138197586722, pck_30: 87.47101244343897, pck_20: 72.76300904977373, pck_10: 38.93724076168925, pck_5: 13.497360482654605
Val loss: 0.23213833765341685, pck_50: 96.47494815233787, pck_40: 93.76885369532425, pck_30: 87.49976432880848, pck_20: 72.84019136500758, pck_10: 38.3612603695324, pck_5: 12.932103129713427
Val loss: 0.2313568752259016, pck_50: 96.43924396681749, pck_40: 93.76260840874815, pck_30: 87.45439762443438, pck_20: 72.88685426093508, pck_10: 39.36863687782804, pck_5: 14.190469457013581
Val loss: 0.23132939269909492, pck_50: 96.49934012066373, pck_40: 93.81445607088988, pck_30: 87.54289215686272, pck_20: 72.88767911010568, pck_10: 38.962693250377036, pck_5: 13.39507918552035
Val loss: 0.23069836485844392, pck_50: 96.44183634992459, pck_40: 93.89811934389134, pck_30: 87.79883107088992, pck_20: 73.22056466817497, pck_10: 38.387773378582224, pck_5: 13.377521681749604
