Val loss: 0.2547531195844595, pck_50: 96.21936274509814, pck_40: 93.12181843891402, pck_30: 85.63454468325787, pck_20: 68.90342194570131, pck_10: 33.070442119155366, pck_5: 10.909337292609347
Val loss: 0.2539938911795616, pck_50: 96.23703808446464, pck_40: 93.18120757918543, pck_30: 85.78890931372547, pck_20: 68.98732088989443, pck_10: 33.16400358220208, pck_5: 10.968019419306177
Val loss: 0.2535729903441209, pck_50: 96.25035350678738, pck_40: 93.19110576923066, pck_30: 85.74825603318253, pck_20: 68.9461962669684, pck_10: 33.10367175716437, pck_5: 10.86833050527903
Val loss: 0.2527921988987006, pck_50: 96.2492929864254, pck_40: 93.19405165912507, pck_30: 85.85348322021112, pck_20: 69.18929110105586, pck_10: 33.26652055052788, pck_5: 10.967194570135746
Val loss: 0.2523992130676141, pck_50: 96.24929298642544, pck_40: 93.18050056561079, pck_30: 85.90780542986431, pck_20: 69.30547699849167, pck_10: 33.53129713423832, pck_5: 11.092100301659126
Val loss: 0.2515058312565088, pck_50: 96.26626131221731, pck_40: 93.26121794871786, pck_30: 86.00666949472101, pck_20: 69.37264328808452, pck_10: 33.46059577677222, pck_5: 11.036599736048258
Val loss: 0.2511370474902483, pck_50: 96.27439196832589, pck_40: 93.2513197586727, pck_30: 85.92112085218697, pck_20: 69.39397153092013, pck_10: 33.57242175716441, pck_5: 11.085383672699837
Val loss: 0.2503953865227791, pck_50: 96.27651300904984, pck_40: 93.236354638009, pck_30: 85.89519702111613, pck_20: 69.52806843891403, pck_10: 33.84379713423833, pck_5: 11.218537895927605
Val loss: 0.24978807144440138, pck_50: 96.28747171945719, pck_40: 93.26333898944189, pck_30: 86.02293080693816, pck_20: 69.66617175716442, pck_10: 33.8823293740573, pck_5: 11.293127828054288
Val loss: 0.2496496674246513, pck_50: 96.26555429864263, pck_40: 93.23812217194563, pck_30: 86.10034879336352, pck_20: 69.88793834841628, pck_10: 34.284384426847645, pck_5: 11.47011689291101
Val loss: 0.24894889690555058, pck_50: 96.29253865007554, pck_40: 93.2545013197586, pck_30: 86.04979732277533, pck_20: 69.8532946832579, pck_10: 34.19058729260933, pck_5: 11.37113499245853
Val loss: 0.24858115066129427, pck_50: 96.28853223981912, pck_40: 93.27182315233777, pck_30: 86.03341817496225, pck_20: 69.83408748114621, pck_10: 34.23713235294122, pck_5: 11.382682880844657
Val loss: 0.24809479157512004, pck_50: 96.29736990950236, pck_40: 93.30010369532431, pck_30: 86.17717760180994, pck_20: 69.98114630467575, pck_10: 34.269537141779765, pck_5: 11.445724924585212
Val loss: 0.2474869777663396, pck_50: 96.3136312217196, pck_40: 93.32944475867272, pck_30: 86.19178921568624, pck_20: 70.02109257164406, pck_10: 34.31620003770744, pck_5: 11.432763009049777
Val loss: 0.2473147464486269, pck_50: 96.31716628959288, pck_40: 93.31200509049775, pck_30: 86.14406579939671, pck_20: 69.99057315233789, pck_10: 34.37511783559577, pck_5: 11.461750565610853
Val loss: 0.2465397669432255, pck_50: 96.29560237556568, pck_40: 93.32060708898935, pck_30: 86.26414027149322, pck_20: 70.33924868024124, pck_10: 34.77057409502263, pck_5: 11.565681561085967
Val loss: 0.24585521625211607, pck_50: 96.32317590497753, pck_40: 93.3285020739065, pck_30: 86.2316176470588, pck_20: 70.35244626696829, pck_10: 34.83797605580698, pck_5: 11.651937217194579
Val loss: 0.2455728879628273, pck_50: 96.3260039592761, pck_40: 93.32166760935144, pck_30: 86.19897718702873, pck_20: 70.35692401960782, pck_10: 34.939550339366484, pck_5: 11.683163650075414
Val loss: 0.24538924547915275, pck_50: 96.33307409502271, pck_40: 93.3644419306184, pck_30: 86.33460595776768, pck_20: 70.46768947963803, pck_10: 35.01001602564103, pck_5: 11.693651018099551
Val loss: 0.24470818925362367, pck_50: 96.31127450980395, pck_40: 93.39166195324286, pck_30: 86.4390082956259, pck_20: 70.71750094268475, pck_10: 35.30213046757165, pck_5: 11.838117458521882
Val loss: 0.24428343603817315, pck_50: 96.32223322021119, pck_40: 93.39519702111608, pck_30: 86.44501791101051, pck_20: 70.7430712669683, pck_10: 35.261241515837106, pck_5: 11.836821266968329
Val loss: 0.24377656624867367, pck_50: 96.33213141025645, pck_40: 93.37752168174966, pck_30: 86.44867081447957, pck_20: 70.88046757164409, pck_10: 35.615808823529434, pck_5: 11.944523001508303
Val loss: 0.24358130687704452, pck_50: 96.34697869532437, pck_40: 93.38671285822018, pck_30: 86.37360953996995, pck_20: 70.71255184766214, pck_10: 35.31167515082955, pck_5: 11.81077960030166
Val loss: 0.24261552843336875, pck_50: 96.3459181749623, pck_40: 93.41546474358962, pck_30: 86.49333050527898, pck_20: 70.95529317496226, pck_10: 35.639729449472135, pck_5: 11.932621606334852
Val loss: 0.24242232421842905, pck_50: 96.355109351433, pck_40: 93.38883389894411, pck_30: 86.45727281297127, pck_20: 70.99842100301663, pck_10: 35.80599547511317, pck_5: 11.986118966817502
Val loss: 0.24252912301856738, pck_50: 96.33943721719467, pck_40: 93.45435049019598, pck_30: 86.65217288838618, pck_20: 71.12709747360479, pck_10: 35.655165912518875, pck_5: 11.900098981900456
Val loss: 0.2416667704971937, pck_50: 96.35935143288096, pck_40: 93.44303827300145, pck_30: 86.55755090497723, pck_20: 71.22325131975866, pck_10: 35.96648755656113, pck_5: 12.102894042232284
Val loss: 0.24144541601148936, pck_50: 96.36889611613886, pck_40: 93.42465592006025, pck_30: 86.53704751131225, pck_20: 71.1881363122172, pck_10: 36.11613876319757, pck_5: 12.140247926093522
Val loss: 0.24119614826945157, pck_50: 96.3448576546004, pck_40: 93.46849076168918, pck_30: 86.6895267722474, pck_20: 71.35263480392155, pck_10: 36.01491798642531, pck_5: 12.093820701357458
Val loss: 0.23786651022159136, pck_50: 96.36029411764709, pck_40: 93.59210030165913, pck_30: 87.09370286576171, pck_20: 71.99271776018104, pck_10: 36.72605580693816, pck_5: 12.403846153846159
Val loss: 0.23493965895703206, pck_50: 96.3956447963802, pck_40: 93.57878487933638, pck_30: 87.04173736802417, pck_20: 72.47631504524881, pck_10: 37.83877733785825, pck_5: 12.958144796380093
