Val loss: 0.32758034063646424, pck_50: 95.61946172699852, pck_40: 91.21523849924581, pck_30: 78.53530354449465, pck_20: 56.45090969079938, pck_10: 23.17614064856714, pck_5: 6.8396493212669665
Val loss: 0.3271831674931141, pck_50: 95.63395550527908, pck_40: 91.29194947209655, pck_30: 78.50030637254895, pck_20: 56.38774981146303, pck_10: 23.10649981146304, pck_5: 7.020055618401207
Val loss: 0.32721155976446775, pck_50: 95.62971342383105, pck_40: 91.27392062594271, pck_30: 78.5601668552036, pck_20: 56.42887443438917, pck_10: 23.155637254901983, pck_5: 6.8946785444947185
Val loss: 0.3272701610452854, pck_50: 95.62228978129716, pck_40: 91.26602564102575, pck_30: 78.5368354072398, pck_20: 56.48673171191552, pck_10: 23.19699754901962, pck_5: 6.856381975867266
Val loss: 0.32693186605779023, pck_50: 95.62405731523378, pck_40: 91.29442401960787, pck_30: 78.55227187028653, pck_20: 56.52172888386121, pck_10: 23.182503770739086, pck_5: 6.856381975867267
Val loss: 0.3270789782301738, pck_50: 95.62405731523381, pck_40: 91.28487933634993, pck_30: 78.5953996983408, pck_20: 56.49839743589744, pck_10: 23.225749434389165, pck_5: 6.842595211161389
Val loss: 0.32764779770603547, pck_50: 95.62122926093515, pck_40: 91.19226055806931, pck_30: 78.52434483408749, pck_20: 56.297487745098, pck_10: 23.185331825037718, pck_5: 6.833993212669685
Val loss: 0.3270897085850055, pck_50: 95.61451263197587, pck_40: 91.25824849170448, pck_30: 78.58950791855204, pck_20: 56.521728883861215, pck_10: 23.173194758672732, pck_5: 6.8358785822021115
Val loss: 0.32756023186330613, pck_50: 95.6060284690799, pck_40: 91.15820607088985, pck_30: 78.49229355203624, pck_20: 56.36217948717945, pck_10: 23.21160916289592, pck_5: 6.905401583710412
Val loss: 0.3272207183046983, pck_50: 95.602846907994, pck_40: 91.2409266591253, pck_30: 78.50890837104077, pck_20: 56.562735671191554, pck_10: 23.25402997737558, pck_5: 6.816082202111615
Val loss: 0.3272794841000667, pck_50: 95.61698717948718, pck_40: 91.21453148567119, pck_30: 78.5850301659126, pck_20: 56.556254713423854, pck_10: 23.243542609351422, pck_5: 6.782852564102561
Val loss: 0.3271175836141293, pck_50: 95.61663367269988, pck_40: 91.2520032051282, pck_30: 78.4940610859728, pck_20: 56.538697209653115, pck_10: 23.2055995475113, pck_5: 6.800527903469083
Val loss: 0.32725415183947637, pck_50: 95.61663367269982, pck_40: 91.16079845399699, pck_30: 78.50490196078432, pck_20: 56.383507730015104, pck_10: 23.337104072398187, pck_5: 6.779199660633491
Val loss: 0.32725331350587883, pck_50: 95.61203808446453, pck_40: 91.19402809200596, pck_30: 78.524580505279, pck_20: 56.61988593514328, pck_10: 23.41546474358976, pck_5: 6.713211726998493
Val loss: 0.32698960272738564, pck_50: 95.61309860482652, pck_40: 91.26897153092004, pck_30: 78.57548548265461, pck_20: 56.65335124434389, pck_10: 23.339460784313747, pck_5: 6.736189668174962
Val loss: 0.32692752030606453, pck_50: 95.61521964555054, pck_40: 91.21618118401204, pck_30: 78.5878582202112, pck_20: 56.58700980392159, pck_10: 23.31766119909502, pck_5: 6.741138763197588
Val loss: 0.32666088970234763, pck_50: 95.61840120663649, pck_40: 91.26661481900454, pck_30: 78.51362179487181, pck_20: 56.67031957013576, pck_10: 23.43361142533938, pck_5: 6.807008861236805
Val loss: 0.3270792196862973, pck_50: 95.61486613876318, pck_40: 91.21099641779784, pck_30: 78.56806184012058, pck_20: 56.545649509803944, pck_10: 23.344645550527922, pck_5: 6.817260558069382
Val loss: 0.32686606187086836, pck_50: 95.60991704374055, pck_40: 91.21877356711914, pck_30: 78.5747784690799, pck_20: 56.72746983408755, pck_10: 23.395079185520366, pck_5: 6.766826923076921
Val loss: 0.32669952102005484, pck_50: 95.62370380844645, pck_40: 91.27191742081446, pck_30: 78.59881693061838, pck_20: 56.63720776772249, pck_10: 23.42642345399699, pck_5: 6.8199707767722515
Val loss: 0.3264421460720209, pck_50: 95.62016874057316, pck_40: 91.26838235294115, pck_30: 78.65820607088983, pck_20: 56.692708333333236, pck_10: 23.300339366515843, pck_5: 6.810426093514328
Val loss: 0.3266540195219792, pck_50: 95.6205222473605, pck_40: 91.23008578431369, pck_30: 78.60553355957765, pck_20: 56.61776489441928, pck_10: 23.29209087481146, pck_5: 6.778021304675718
Val loss: 0.3265858859110337, pck_50: 95.61840120663652, pck_40: 91.25412424585218, pck_30: 78.64677601809954, pck_20: 56.63155165912516, pck_10: 23.321549773755656, pck_5: 6.814903846153848
Val loss: 0.32732187839081656, pck_50: 95.62052224736044, pck_40: 91.19909502262446, pck_30: 78.61177884615385, pck_20: 56.28181561085965, pck_10: 23.297393476621416, pck_5: 6.855910633484172
Val loss: 0.3264626694413332, pck_50: 95.61875471342383, pck_40: 91.24493306938153, pck_30: 78.6067119155354, pck_20: 56.64828431372549, pck_10: 23.375636312217225, pck_5: 6.825037707390649
Val loss: 0.32664754138543056, pck_50: 95.61769419306185, pck_40: 91.26201923076914, pck_30: 78.64477281297125, pck_20: 56.584653092006015, pck_10: 23.22574943438916, pck_5: 6.789569193061842
Val loss: 0.3267771168683584, pck_50: 95.6222897812971, pck_40: 91.24929298642532, pck_30: 78.64512631975865, pck_20: 56.475890837104025, pck_10: 23.342642345399682, pck_5: 6.911646870286581
Val loss: 0.3265457420394971, pck_50: 95.60213989441931, pck_40: 91.2166525263952, pck_30: 78.60459087481134, pck_20: 56.748915912518804, pck_10: 23.26039309954754, pck_5: 6.776371606334838
Val loss: 0.32720539217384964, pck_50: 95.61451263197583, pck_40: 91.13605297888382, pck_30: 78.4965356334842, pck_20: 56.365832390648556, pck_10: 23.31636500754147, pck_5: 6.7484445701357405
Val loss: 0.3268750345477691, pck_50: 95.60779600301657, pck_40: 91.1957956259427, pck_30: 78.62026300904968, pck_20: 56.63414404223226, pck_10: 23.295625942684758, pck_5: 6.773779223227756
Val loss: 0.32648102950591307, pck_50: 95.61274509803921, pck_40: 91.22831825037706, pck_30: 78.64889705882342, pck_20: 56.60350678733024, pck_10: 23.208427601809948, pck_5: 6.773425716440422
Val loss: 0.3267034981113214, pck_50: 95.59825131975866, pck_40: 91.20003770739063, pck_30: 78.59917043740572, pck_20: 56.74384898190044, pck_10: 23.449872737556568, pck_5: 6.876060520361992
Val loss: 0.3265635333668727, pck_50: 95.61663367269989, pck_40: 91.28004807692305, pck_30: 78.68707579185514, pck_20: 56.60986990950227, pck_10: 23.17885086726999, pck_5: 6.797464177978884
Val loss: 0.3265210944299515, pck_50: 95.61274509803924, pck_40: 91.2276112368024, pck_30: 78.62568344645548, pck_20: 56.6323765082956, pck_10: 23.286788273001505, pck_5: 6.856146304675718
Val loss: 0.3260381275071548, pck_50: 95.6180476998492, pck_40: 91.32187971342384, pck_30: 78.73574189291098, pck_20: 56.72652714932127, pck_10: 23.255679675716433, pck_5: 6.828219268476625
Val loss: 0.32612869332616146, pck_50: 95.6102705505279, pck_40: 91.24457956259421, pck_30: 78.65738122171938, pck_20: 56.7376036953242, pck_10: 23.329916101055822, pck_5: 6.851550716440418
Val loss: 0.32644742328960163, pck_50: 95.61840120663652, pck_40: 91.2350348793363, pck_30: 78.72372266214181, pck_20: 56.59054487179488, pck_10: 23.32567401960785, pck_5: 6.820324283559581
Val loss: 0.3264449237344357, pck_50: 95.61804769984919, pck_40: 91.19579562594262, pck_30: 78.7040441176471, pck_20: 56.587009803921575, pck_10: 23.324731334841655, pck_5: 6.8215026395173455
Val loss: 0.3261142624112276, pck_50: 95.61203808446453, pck_40: 91.30597190799394, pck_30: 78.68236236802412, pck_20: 56.73100490196075, pck_10: 23.399792609351426, pck_5: 6.929675716440423
Val loss: 0.3264837638976482, pck_50: 95.62052224736046, pck_40: 91.22195512820512, pck_30: 78.62662613122171, pck_20: 56.494744532428335, pck_10: 23.369862368024148, pck_5: 6.79133672699849
Val loss: 0.3262222452519032, pck_50: 95.6191082202112, pck_40: 91.3049113876319, pck_30: 78.77227092760184, pck_20: 56.52856334841629, pck_10: 23.1779081825038, pck_5: 6.807244532428359
Val loss: 0.32672529071569445, pck_50: 95.62052224736043, pck_40: 91.2388056184011, pck_30: 78.58844739819006, pck_20: 56.407310520361996, pck_10: 23.286552601809973, pck_5: 6.737957202111613
Val loss: 0.3262207258492708, pck_50: 95.60779600301659, pck_40: 91.25318156108595, pck_30: 78.65773472850678, pck_20: 56.67597567873301, pck_10: 23.341817496229275, pck_5: 6.847308634992459
Val loss: 0.32679577813698696, pck_50: 95.61380561840117, pck_40: 91.17423171191552, pck_30: 78.67823812217188, pck_20: 56.49969362745095, pck_10: 23.294447586726996, pck_5: 6.76305618401207
Val loss: 0.32554064639485797, pck_50: 95.62818156108597, pck_40: 91.33319193061834, pck_30: 78.78087292609344, pck_20: 56.72864819004527, pck_10: 23.355722096530904, pck_5: 6.833404034690799
